detail_id,invoice_id,product_id,ten_san_pham,so_luong,don_gia,giam_gia_pct,thanh_tien
1,1,8,Soda chanh leo,1,1004000,0,1004000
2,1,24,iPhone 15,9,26000,10,210600
3,1,39,Samsung Galaxy A55 #39,7,482000,0,3374000
4,1,13,Cơm gà,10,128000,0,1280000
5,1,10,Xôi gà,3,297000,5,846450
6,2,59,Nem chua #59,7,194000,10,1222200
7,2,1,Cà phê đen,7,631000,0,4417000
8,3,37,Cáp sạc USB-C #37,5,444000,5,2109000
9,3,10,Xôi gà,4,297000,0,1188000
10,3,44,OPPO Reno12 #44,5,1171000,10,5269500
11,3,13,Cơm gà,9,128000,5,1094400
12,4,57,Ốp lưng điện thoại #57,1,16000,5,15200
13,5,26,Xiaomi 14T,7,263000,0,1841000
14,5,60,Ốp lưng điện thoại #60,7,337000,10,2123100
15,5,44,OPPO Reno12 #44,9,1171000,5,10012050
16,5,38,iPhone 15 #38,3,190000,0,570000
17,5,27,OPPO Reno12,9,556000,10,4503600
18,5,36,Nước cam #36,8,9000,0,72000
19,6,11,Phở bò,9,104000,5,889200
20,6,24,iPhone 15,6,26000,10,140400
21,6,45,Xiaomi 14T #45,10,867000,15,7369500
22,6,17,Khoai tây chiên,1,447000,0,447000
23,6,10,Xôi gà,7,297000,15,1767150
24,6,49,Bánh cuốn #49,1,781000,0,781000
25,7,38,iPhone 15 #38,10,190000,0,1900000
26,7,9,Bánh mì thịt,7,528000,5,3511200
27,8,57,Ốp lưng điện thoại #57,4,16000,0,64000
28,8,28,Vivo V30,10,437000,10,3933000
29,9,1,Cà phê đen,7,631000,5,4196150
30,9,17,Khoai tây chiên,10,447000,0,4470000
31,9,9,Bánh mì thịt,9,528000,0,4752000
32,9,27,OPPO Reno12,2,556000,0,1112000
33,9,41,Mì Quảng #41,9,15000,0,135000
34,9,18,Bánh tráng trộn,9,43000,10,348300
35,10,41,Mì Quảng #41,7,15000,10,94500
36,10,1,Cà phê đen,2,631000,10,1135800
37,10,26,Xiaomi 14T,2,263000,10,473400
38,10,18,Bánh tráng trộn,5,43000,0,215000
39,11,39,Samsung Galaxy A55 #39,8,482000,15,3277600
40,11,48,Kính cường lực #48,8,245000,10,1764000
41,11,25,Samsung Galaxy A55,1,564000,5,535800
42,11,36,Nước cam #36,2,9000,0,18000
43,12,37,Cáp sạc USB-C #37,5,444000,0,2220000
44,12,57,Ốp lưng điện thoại #57,5,16000,0,80000
45,12,59,Nem chua #59,7,194000,15,1154300
46,12,1,Cà phê đen,6,631000,0,3786000
47,13,18,Bánh tráng trộn,4,43000,0,172000
48,13,20,Nem chua,4,704000,0,2816000
49,13,49,Bánh cuốn #49,4,781000,0,3124000
50,14,9,Bánh mì thịt,8,528000,10,3801600
51,15,27,OPPO Reno12,5,556000,5,2641000
52,15,49,Bánh cuốn #49,4,781000,10,2811600
53,15,18,Bánh tráng trộn,3,43000,0,129000
54,15,51,iPhone 15 #51,9,325000,5,2778750
55,16,18,Bánh tráng trộn,1,43000,0,43000
56,16,47,Chè đậu đỏ #47,4,710000,5,2698000
57,16,11,Phở bò,10,104000,0,1040000
58,16,59,Nem chua #59,6,194000,0,1164000
59,16,35,Kính cường lực,10,490000,0,4900000
60,16,37,Cáp sạc USB-C #37,3,444000,10,1198800
61,17,44,OPPO Reno12 #44,6,1171000,5,6674700
62,17,21,Bánh flan,5,557000,5,2645750
63,17,43,Xôi gà #43,3,390000,10,1053000
64,17,38,iPhone 15 #38,3,190000,10,513000
65,18,20,Nem chua,3,704000,5,2006400
66,18,15,Cháo sườn,8,442000,0,3536000
67,18,48,Kính cường lực #48,9,245000,10,1984500
68,18,1,Cà phê đen,6,631000,5,3596700
69,19,17,Khoai tây chiên,2,447000,5,849300
70,19,7,Nước chanh,6,645000,0,3870000
71,19,21,Bánh flan,6,557000,0,3342000
72,19,26,Xiaomi 14T,9,263000,10,2130300
73,19,48,Kính cường lực #48,5,245000,0,1225000
74,19,43,Xôi gà #43,1,390000,5,370500
75,20,59,Nem chua #59,9,194000,5,1658700
76,20,18,Bánh tráng trộn,8,43000,0,344000
77,20,28,Vivo V30,7,437000,10,2753100
78,20,37,Cáp sạc USB-C #37,5,444000,5,2109000
79,20,35,Kính cường lực,3,490000,0,1470000
80,20,36,Nước cam #36,6,9000,5,51300
81,21,28,Vivo V30,5,437000,5,2075750
82,21,27,OPPO Reno12,6,556000,15,2835600
83,21,41,Mì Quảng #41,10,15000,10,135000
84,22,26,Xiaomi 14T,4,263000,0,1052000
85,22,9,Bánh mì thịt,7,528000,0,3696000
86,23,57,Ốp lưng điện thoại #57,10,16000,0,160000
87,23,9,Bánh mì thịt,2,528000,15,897600
88,23,10,Xôi gà,7,297000,0,2079000
89,23,26,Xiaomi 14T,4,263000,0,1052000
90,24,5,Sinh tố bơ,6,570000,0,3420000
91,24,6,Trà sữa trân châu,8,77000,5,585200
92,25,47,Chè đậu đỏ #47,6,710000,5,4047000
93,25,44,OPPO Reno12 #44,9,1171000,0,10539000
94,25,57,Ốp lưng điện thoại #57,2,16000,5,30400
95,25,59,Nem chua #59,5,194000,0,970000
96,25,33,Pin dự phòng 10000mAh,7,379000,0,2653000
97,26,37,Cáp sạc USB-C #37,8,444000,10,3196800
98,26,28,Vivo V30,1,437000,15,371450
99,27,24,iPhone 15,7,26000,10,163800
100,27,1,Cà phê đen,7,631000,5,4196150
101,27,60,Ốp lưng điện thoại #60,4,337000,0,1348000
102,27,38,iPhone 15 #38,7,190000,5,1263500
103,27,20,Nem chua,4,704000,0,2816000
104,28,27,OPPO Reno12,2,556000,0,1112000
105,28,28,Vivo V30,3,437000,0,1311000
106,28,59,Nem chua #59,2,194000,15,329800
107,28,43,Xôi gà #43,8,390000,10,2808000
108,28,20,Nem chua,8,704000,0,5632000
109,29,5,Sinh tố bơ,3,570000,15,1453500
110,29,18,Bánh tráng trộn,8,43000,15,292400
111,29,10,Xôi gà,1,297000,0,297000
112,29,28,Vivo V30,2,437000,0,874000
113,29,27,OPPO Reno12,1,556000,5,528200
114,30,6,Trà sữa trân châu,1,77000,0,77000
115,30,36,Nước cam #36,7,9000,0,63000
116,30,9,Bánh mì thịt,9,528000,5,4514400
117,30,15,Cháo sườn,3,442000,0,1326000
118,31,25,Samsung Galaxy A55,2,564000,10,1015200
119,31,6,Trà sữa trân châu,4,77000,5,292600
120,31,20,Nem chua,7,704000,15,4188800
121,31,47,Chè đậu đỏ #47,5,710000,0,3550000
122,32,33,Pin dự phòng 10000mAh,4,379000,0,1516000
123,32,20,Nem chua,4,704000,15,2393600
124,32,38,iPhone 15 #38,7,190000,0,1330000
125,32,7,Nước chanh,1,645000,0,645000
126,33,48,Kính cường lực #48,10,245000,0,2450000
127,34,36,Nước cam #36,2,9000,0,18000
128,34,7,Nước chanh,8,645000,0,5160000
129,34,37,Cáp sạc USB-C #37,6,444000,10,2397600
130,34,15,Cháo sườn,6,442000,5,2519400
131,34,59,Nem chua #59,4,194000,0,776000
132,35,45,Xiaomi 14T #45,8,867000,0,6936000
133,35,60,Ốp lưng điện thoại #60,10,337000,0,3370000
134,35,28,Vivo V30,9,437000,0,3933000
135,35,59,Nem chua #59,6,194000,15,989400
136,36,45,Xiaomi 14T #45,5,867000,10,3901500
137,36,28,Vivo V30,6,437000,5,2490900
138,37,38,iPhone 15 #38,7,190000,0,1330000
139,37,25,Samsung Galaxy A55,9,564000,15,4314600
140,37,35,Kính cường lực,8,490000,10,3528000
141,37,8,Soda chanh leo,3,1004000,10,2710800
142,37,59,Nem chua #59,5,194000,0,970000
143,38,13,Cơm gà,3,128000,0,384000
144,39,39,Samsung Galaxy A55 #39,4,482000,10,1735200
