DetailID,OrderID,ProductID,Quantity,UnitPrice
1,1,15,1,59265
2,1,94,1,54643
3,1,41,1,16916
4,2,13,3,60825
5,2,64,5,18863
6,2,28,2,53426
7,3,22,2,20870
8,3,32,1,82134
9,3,87,2,47322
10,3,100,5,55240
11,4,41,3,16916
12,4,19,4,24844
13,4,54,5,55716
14,4,81,4,69446
15,5,38,5,89599
16,5,88,1,82751
17,5,22,3,20870
18,6,11,2,42580
19,6,84,3,78759
20,6,56,1,13545
21,6,5,3,35124
22,6,91,1,87573
23,7,78,4,21761
24,7,59,1,68303
25,7,70,1,16773
26,8,66,1,21309
27,8,4,4,72183
28,8,48,1,56186
29,9,36,3,50269
30,9,66,1,21309
31,9,3,3,92869
32,10,23,2,13902
33,10,68,1,92995
34,10,46,4,39246
35,10,51,3,22310
36,10,15,1,59265
37,11,76,4,95956
38,11,1,2,77345
39,11,66,4,21309
40,11,14,4,61112
41,11,2,1,16956
42,12,53,3,58950
43,12,36,2,50269
44,12,91,3,87573
45,12,78,1,21761
46,12,59,3,68303
47,13,1,4,77345
48,13,94,2,54643
49,13,13,1,60825
50,13,80,3,14416
51,14,2,2,16956
52,14,90,1,99988
53,14,53,2,58950
54,14,50,3,53007
55,15,16,5,21730
56,15,30,3,22486
57,15,67,2,71990
58,15,36,1,50269
59,15,95,4,10177
60,16,13,3,60825
61,16,8,2,71394
62,16,37,5,31314
63,16,72,3,53594
64,17,42,4,44615
65,17,73,2,58762
66,17,70,1,16773
67,18,35,2,27106
68,18,13,1,60825
69,18,60,3,91851
70,18,7,4,51167
71,19,92,3,43974
72,19,14,1,61112
73,19,52,4,47423
74,19,53,2,58950
75,20,10,2,15030
76,20,88,5,82751
77,20,41,5,16916
78,21,30,4,22486
79,21,54,4,55716
80,21,11,2,42580
81,21,61,4,83461
82,22,14,5,61112
83,22,40,2,63117
84,22,73,4,58762
85,22,20,3,13940
86,22,18,2,49881
87,23,56,5,13545
88,23,23,5,13902
89,23,17,3,32785
90,24,31,5,25080
91,24,57,1,87341
92,24,54,3,55716
93,24,56,3,13545
94,24,60,4,91851
95,25,56,5,13545
96,25,60,5,91851
97,25,16,1,21730
98,26,22,1,20870
99,26,30,5,22486
100,26,38,5,89599
101,26,15,4,59265
102,26,72,5,53594
103,27,6,5,23328
104,27,94,1,54643
105,27,98,4,88669
106,28,78,5,21761
107,28,87,4,47322
108,28,33,2,67163
109,29,52,4,47423
110,29,73,3,58762
111,29,62,1,39951
112,29,99,1,64203
113,30,55,3,50282
114,30,12,3,31257
115,30,77,3,62543
116,31,15,3,59265
117,31,87,2,47322
118,31,63,3,59829
119,31,9,4,24385
120,31,43,2,37544
121,32,79,4,37051
122,32,90,4,99988
123,32,57,4,87341
124,32,88,5,82751
125,32,33,1,67163
126,33,94,3,54643
127,33,22,3,20870
128,33,62,4,39951
129,34,70,5,16773
130,34,6,3,23328
131,34,13,2,60825
132,34,36,1,50269
133,34,61,3,83461
134,35,79,2,37051
135,35,27,1,85161
136,35,82,2,40303
137,35,58,2,66996
138,36,22,5,20870
139,36,81,4,69446
140,36,40,4,63117
141,36,65,2,95196
142,36,52,5,47423
143,37,95,5,10177
144,37,43,1,37544
145,37,26,3,47395
146,37,18,5,49881
147,37,2,2,16956
148,38,48,3,56186
149,38,83,3,57341
150,38,57,3,87341
151,38,64,4,18863
152,38,70,1,16773
153,39,49,3,86790
154,39,81,1,69446
155,39,51,5,22310
156,40,36,3,50269
157,40,60,5,91851
158,40,73,1,58762
159,41,40,4,63117
160,41,65,1,95196
161,41,58,5,66996
162,42,78,2,21761
163,42,47,2,38951
164,42,93,3,25266
165,42,88,2,82751
166,42,42,4,44615
167,43,26,1,47395
168,43,27,5,85161
169,43,41,1,16916
170,44,72,3,53594
171,44,58,2,66996
172,44,30,5,22486
173,45,31,3,25080
174,45,61,4,83461
175,45,65,5,95196
176,45,47,2,38951
177,46,41,1,16916
178,46,75,4,31489
179,46,84,5,78759
180,47,93,3,25266
181,47,27,4,85161
182,47,78,5,21761
183,47,97,2,24578
184,47,58,5,66996
185,48,25,4,95530
186,48,50,1,53007
187,48,90,4,99988
188,48,96,5,93706
189,49,40,5,63117
190,49,53,2,58950
191,49,78,2,21761
192,49,7,4,51167
193,50,84,1,78759
194,50,59,3,68303
195,50,18,2,49881
196,51,88,5,82751
197,51,9,1,24385
198,51,11,3,42580
199,51,69,1,66333
200,52,75,2,31489
201,52,2,2,16956
202,52,37,5,31314
203,52,28,2,53426
204,52,57,5,87341
205,53,11,3,42580
206,53,6,4,23328
207,53,32,1,82134
208,53,94,2,54643
209,54,60,4,91851
210,54,96,4,93706
211,54,8,2,71394
212,55,52,2,47423
213,55,10,4,15030
214,55,2,5,16956
215,55,78,5,21761
216,55,87,2,47322
217,56,80,3,14416
218,56,46,3,39246
219,56,77,1,62543
220,57,20,3,13940
221,57,93,2,25266
222,57,71,2,62771
223,57,89,2,99643
224,58,28,4,53426
225,58,18,2,49881
226,58,81,2,69446
227,59,57,2,87341
228,59,40,1,63117
229,59,8,2,71394
230,60,59,1,68303
231,60,15,2,59265
232,60,34,1,71809
233,60,43,1,37544
234,60,28,4,53426
235,61,93,1,25266
236,61,19,5,24844
237,61,64,3,18863
238,61,84,5,78759
239,61,90,5,99988
240,62,34,2,71809
241,62,19,2,24844
242,62,97,2,24578
243,62,12,3,31257
244,63,98,5,88669
245,63,91,4,87573
246,63,35,4,27106
247,64,92,1,43974
248,64,96,1,93706
249,64,3,5,92869
250,65,34,5,71809
251,65,45,3,89685
252,65,70,5,16773
253,65,77,3,62543
254,65,4,1,72183
255,66,2,5,16956
256,66,53,1,58950
257,66,75,5,31489
258,66,12,2,31257
259,66,49,3,86790
260,67,6,4,23328
261,67,8,3,71394
262,67,22,3,20870
263,67,85,1,49747
264,68,9,3,24385
265,68,65,1,95196
266,68,76,2,95956
267,68,84,2,78759
268,69,84,5,78759
269,69,39,3,30610
270,69,69,3,66333
271,69,22,1,20870
272,69,20,5,13940
273,70,43,2,37544
274,70,37,1,31314
275,70,48,4,56186
276,71,17,1,32785
277,71,7,1,51167
278,71,5,3,35124
279,72,29,5,27367
280,72,75,5,31489
281,72,88,1,82751
282,73,78,2,21761
283,73,8,5,71394
284,73,27,3,85161
285,73,13,1,60825
286,74,48,4,56186
287,74,100,1,55240
288,74,46,4,39246
289,74,60,5,91851
290,74,55,2,50282
291,75,68,3,92995
292,75,97,1,24578
293,75,8,3,71394
294,76,75,1,31489
295,76,88,4,82751
296,76,81,4,69446
297,76,54,1,55716
298,77,90,1,99988
299,77,15,2,59265
300,77,100,5,55240
301,78,15,3,59265
302,78,4,2,72183
303,78,78,5,21761
304,79,38,2,89599
305,79,94,2,54643
306,79,47,1,38951
307,79,33,3,67163
308,80,61,4,83461
309,80,4,2,72183
310,80,65,3,95196
311,80,62,2,39951
312,80,18,4,49881
313,81,88,2,82751
314,81,89,2,99643
315,81,31,1,25080
316,81,7,5,51167
317,81,47,4,38951
318,82,96,5,93706
319,82,89,2,99643
320,82,53,1,58950
321,83,16,3,21730
322,83,79,2,37051
323,83,52,2,47423
324,84,55,5,50282
325,84,39,4,30610
326,84,95,1,10177
327,84,5,5,35124
328,85,22,5,20870
329,85,100,2,55240
330,85,95,5,10177
331,86,46,4,39246
332,86,53,5,58950
333,86,89,3,99643
334,86,96,3,93706
335,86,30,4,22486
336,87,44,3,55170
337,87,9,3,24385
338,87,31,5,25080
339,87,83,3,57341
340,88,83,4,57341
341,88,48,2,56186
342,88,18,2,49881
343,88,59,1,68303
344,88,90,5,99988
345,89,26,4,47395
346,89,3,5,92869
347,89,40,1,63117
348,89,59,3,68303
349,89,1,5,77345
350,90,100,3,55240
351,90,86,2,33028
352,90,71,2,62771
353,90,45,3,89685
354,90,42,2,44615
355,91,3,3,92869
356,91,6,3,23328
357,91,79,2,37051
358,91,80,1,14416
359,91,78,1,21761
360,92,21,1,33591
361,92,78,1,21761
362,92,40,4,63117
363,93,2,3,16956
364,93,4,2,72183
365,93,86,2,33028
366,93,34,3,71809
367,93,95,1,10177
368,94,61,2,83461
369,94,92,2,43974
370,94,80,5,14416
371,94,62,4,39951
372,95,42,2,44615
373,95,35,3,27106
374,95,16,1,21730
375,96,95,3,10177
376,96,10,5,15030
377,96,66,2,21309
378,97,17,5,32785
379,97,94,1,54643
380,97,47,1,38951
381,98,9,4,24385
382,98,14,1,61112
383,98,4,5,72183
384,99,22,2,20870
385,99,1,4,77345
386,99,33,4,67163
387,99,19,2,24844
388,100,47,1,38951
389,100,63,1,59829
390,100,46,4,39246
391,101,85,3,49747
392,101,23,3,13902
393,101,89,1,99643
394,102,86,4,33028
395,102,18,3,49881
396,102,75,1,31489
397,103,6,2,23328
398,103,91,5,87573
399,103,53,2,58950
400,104,21,1,33591
401,104,47,5,38951
402,104,39,1,30610
403,104,1,5,77345
404,105,23,4,13902
405,105,60,4,91851
406,105,31,2,25080
407,106,70,2,16773
408,106,15,4,59265
409,106,56,1,13545
410,107,33,5,67163
411,107,36,1,50269
412,107,51,2,22310
413,107,19,2,24844
414,108,100,4,55240
415,108,13,2,60825
416,108,46,1,39246
417,109,2,1,16956
418,109,17,4,32785
419,109,86,4,33028
420,109,46,5,39246
421,109,36,2,50269
422,110,38,2,89599
423,110,40,5,63117
424,110,27,2,85161
425,110,76,2,95956
426,110,100,3,55240
427,111,60,5,91851
428,111,68,1,92995
429,111,39,4,30610
430,112,24,5,96972
431,112,65,5,95196
432,112,12,3,31257
433,112,81,2,69446
434,113,22,3,20870
435,113,10,2,15030
436,113,68,3,92995
437,113,59,1,68303
438,113,73,2,58762
439,114,61,1,83461
440,114,13,2,60825
441,114,89,4,99643
442,115,58,3,66996
443,115,30,4,22486
444,115,14,4,61112
445,116,87,1,47322
446,116,97,1,24578
447,116,37,5,31314
448,117,81,5,69446
449,117,34,1,71809
450,117,79,1,37051
451,117,28,3,53426
452,118,43,4,37544
453,118,25,1,95530
454,118,88,1,82751
455,119,78,3,21761
456,119,54,2,55716
457,119,6,1,23328
458,119,28,5,53426
459,119,10,4,15030
460,120,28,1,53426
461,120,52,2,47423
462,120,95,2,10177
463,120,5,5,35124
464,120,27,5,85161
465,121,16,1,21730
466,121,79,3,37051
467,121,14,2,61112
468,121,32,4,82134
469,121,3,5,92869
470,122,94,1,54643
471,122,72,3,53594
472,122,52,4,47423
473,122,19,2,24844
474,123,8,2,71394
475,123,58,2,66996
476,123,79,1,37051
477,123,82,4,40303
478,124,84,1,78759
479,124,10,2,15030
480,124,30,5,22486
481,124,89,1,99643
482,124,45,5,89685
483,125,84,1,78759
484,125,91,1,87573
485,125,52,1,47423
486,126,58,4,66996
487,126,80,1,14416
488,126,45,1,89685
489,127,29,1,27367
490,127,32,3,82134
491,127,2,5,16956
492,127,80,1,14416
493,128,45,1,89685
494,128,11,4,42580
495,128,34,1,71809
496,129,90,3,99988
497,129,67,5,71990
498,129,60,5,91851
499,130,57,1,87341
500,130,7,5,51167
501,130,67,3,71990
502,130,88,3,82751
503,131,94,2,54643
504,131,22,4,20870
505,131,49,2,86790
506,131,66,5,21309
507,132,73,2,58762
508,132,57,1,87341
509,132,82,1,40303
510,132,35,2,27106
511,132,81,4,69446
512,133,43,3,37544
513,133,46,1,39246
514,133,38,3,89599
515,133,10,2,15030
516,134,91,5,87573
517,134,5,2,35124
518,134,22,2,20870
519,134,93,4,25266
520,134,67,3,71990
521,135,22,1,20870
522,135,39,3,30610
523,135,40,2,63117
524,136,86,4,33028
525,136,4,5,72183
526,136,45,5,89685
527,136,50,2,53007
528,136,3,1,92869
529,137,7,3,51167
530,137,5,2,35124
531,137,17,4,32785
532,137,26,1,47395
533,138,75,5,31489
534,138,29,3,27367
535,138,52,4,47423
536,139,67,2,71990
537,139,22,4,20870
