OrderID,CustomerID,OrderDate,TotalAmount
1,753,2025-08-06,130824
2,984,2025-06-06,383642
3,358,2025-01-23,494718
4,45,2025-01-03,706488
5,685,2025-06-12,593356
6,889,2025-05-29,527927
7,371,2025-10-01,172120
8,2,2025-04-29,366227
9,457,2025-03-01,450723
10,976,2025-03-26,403978
11,7,2025-12-26,885154
12,289,2025-11-14,766777
13,924,2025-09-13,522739
14,507,2025-12-03,410821
15,511,2025-04-04,411065
16,165,2025-09-27,642615
17,678,2025-06-13,312757
18,964,2025-01-25,595258
19,231,2025-03-27,500626
20,514,2025-05-08,528395
21,91,2025-07-02,731812
22,294,2025-07-15,808424
23,828,2025-01-07,235590
24,894,2025-06-29,787928
25,695,2025-08-10,548710
26,884,2025-06-10,1086325
27,250,2025-08-27,525959
28,680,2025-03-31,432419
29,561,2025-10-25,470132
30,145,2025-05-05,432246
31,732,2025-01-18,624554
32,301,2025-12-15,1378438
33,716,2025-01-05,386343
34,721,2025-03-20,576151
35,510,2025-04-13,373861
36,793,2025-04-14,1062109
37,262,2025-11-26,513931
38,625,2025-11-23,694829
39,4,2025-10-22,441366
40,346,2025-03-20,668824
41,997,2025-01-14,682644
42,882,2025-02-06,541184
43,849,2025-03-31,490116
44,72,2025-03-23,407204
45,230,2025-11-21,962966
46,553,2025-11-09,536667
47,15,2025-11-27,909383
48,274,2025-03-29,1303609
49,545,2025-05-22,681675
50,98,2025-12-26,383430
51,275,2025-05-31,632213
52,562,2025-04-02,797017
53,495,2025-03-31,412472
54,213,2025-10-18,885016
55,135,2025-05-24,443195
56,284,2025-05-24,223529
57,611,2025-04-08,417180
58,160,2025-11-21,452358
59,398,2025-04-25,380587
60,474,2025-06-24,509890
61,12,2025-06-20,1099810
62,902,2025-08-01,336233
63,948,2025-01-28,902061
64,799,2025-11-03,602025
65,403,2025-03-13,971777
66,629,2025-08-26,624059
67,335,2025-07-09,419851
68,469,2025-11-23,517781
69,445,2025-08-28,775194
70,947,2025-03-17,331146
71,480,2025-07-07,189324
72,805,2025-05-29,377031
73,859,2025-02-17,716800
74,154,2025-06-15,996787
75,929,2025-01-31,517745
76,512,2025-06-21,695993
77,575,2025-08-21,494718
78,49,2025-01-12,430966
79,500,2025-10-01,528924
80,591,2025-09-21,1043224
81,61,2025-07-12,801507
82,104,2025-07-14,726766
83,910,2025-12-20,234138
84,21,2025-01-08,559647
85,549,2025-03-14,265715
86,426,2025-11-10,1121725
87,281,2025-06-12,536088
88,454,2025-12-28,1009741
89,515,2025-10-18,1308676
90,377,2025-08-20,715603
91,439,2025-06-14,458870
92,651,2025-10-28,307820
93,668,2025-05-11,486894
94,364,2025-05-28,486754
95,130,2025-12-08,192278
96,100,2025-12-21,148299
97,667,2025-05-20,257519
98,233,2025-09-07,519567
99,446,2025-04-08,669460
100,973,2025-08-04,255764
101,842,2025-11-01,290590
102,832,2025-07-22,313244
103,858,2025-12-12,602421
104,127,2025-03-16,645681
105,779,2025-06-07,473172
106,619,2025-09-23,284151
107,803,2025-07-20,480392
108,556,2025-08-02,381856
109,430,2025-10-31,576976
110,283,2025-12-21,1022737
111,286,2025-04-14,674690
112,49,2025-07-26,1193503
113,814,2025-09-19,557482
114,846,2025-11-04,603683
115,97,2025-01-10,535380
116,600,2025-05-21,228470
117,11,2025-08-08,616368
118,729,2025-01-25,328457
119,210,2025-04-24,527293
120,360,2025-09-29,770051
121,956,2025-11-23,1047988
122,252,2025-12-29,454805
123,403,2025-04-21,475043
124,333,2025-12-12,769317
125,647,2025-01-08,213755
126,929,2025-08-16,372085
127,855,2025-06-22,372965
128,125,2025-08-08,331814
129,753,2025-06-30,1119169
130,277,2025-07-13,807399
131,774,2025-08-07,472891
132,520,2025-03-24,577164
133,224,2025-06-25,450735
134,825,2025-02-02,866887
135,252,2025-06-15,238934
136,302,2025-10-10,1140335
137,681,2025-04-26,402284
138,156,2025-11-11,429238
139,406,2025-01-18,254566
140,28,2025-01-12,537038
141,581,2025-07-26,488805
142,73,2025-11-27,418971
143,555,2025-06-29,271438
144,531,2025-01-11,1029724
145,1000,2025-09-06,644379
146,664,2025-12-22,1126585
147,350,2025-09-12,778381
148,962,2025-12-31,668915
149,183,2025-11-23,976798
150,93,2025-07-10,137858
151,562,2025-09-23,706013
152,616,2025-01-24,1185527
153,726,2025-01-08,890630
154,276,2025-01-12,564283
155,163,2025-07-31,264205
156,46,2025-04-20,726218
157,902,2025-12-04,959601
158,471,2025-08-26,477830
159,974,2025-11-06,390634
160,218,2025-01-23,461393
161,654,2025-06-10,350906
162,43,2025-10-29,571536
163,351,2025-03-31,726663
164,610,2025-08-08,344701
165,947,2025-03-26,770077
166,464,2025-10-02,725357
167,853,2025-10-28,425687
168,347,2025-09-12,509044
169,615,2025-07-28,312733
170,506,2025-07-20,227354
171,601,2025-05-22,212239
172,435,2025-03-11,211750
173,153,2025-06-27,688067
174,237,2025-08-19,785620
175,49,2025-10-16,352182
176,321,2025-02-22,460797
177,370,2025-04-24,444251
178,602,2025-08-22,333791
179,931,2025-05-10,171332
180,971,2025-02-18,495842
181,404,2025-02-07,951708
182,862,2025-09-15,746420
183,504,2025-06-28,421502
184,126,2025-04-13,312224
185,242,2025-01-11,1044995
186,244,2025-07-15,914990
187,284,2025-09-25,860970
188,406,2025-05-11,527187
189,127,2025-05-17,669641
190,914,2025-06-17,462912
191,736,2025-12-07,1045949
192,757,2025-05-03,279769
193,935,2025-03-14,1118105
194,598,2025-02-20,665629
195,693,2025-03-17,524127
196,695,2025-08-28,444319
197,286,2025-09-07,903260
198,744,2025-01-30,1053869
199,775,2025-08-10,343970
200,229,2025-11-20,472814
201,171,2025-12-05,535049
202,572,2025-09-23,653845
203,130,2025-09-11,635711
204,147,2025-02-11,1038760
205,515,2025-06-29,162514
206,398,2025-02-21,888705
207,14,2025-10-19,738280
208,961,2025-09-21,654687
209,175,2025-05-02,246853
210,917,2025-06-25,819862
211,261,2025-10-14,249487
212,333,2025-01-19,722826
213,827,2025-09-04,210281
214,487,2025-07-27,465691
215,3,2025-06-21,711851
216,808,2025-04-01,487986
217,541,2025-12-15,964048
218,621,2025-02-10,753961
219,4,2025-05-29,528784
220,479,2025-06-19,752501
221,629,2025-09-07,981935
