ProductID,ProductName,Barcode,Price,StockQuantity
1,Product 1,893000000001,77345,283
2,Product 2,893000000002,16956,144
3,Product 3,893000000003,92869,161
4,Product 4,893000000004,72183,434
5,Product 5,893000000005,35124,371
6,Product 6,893000000006,23328,308
7,Product 7,893000000007,51167,299
8,Product 8,893000000008,71394,75
9,Product 9,893000000009,24385,293
10,Product 10,893000000010,15030,193
11,Product 11,893000000011,42580,313
12,Product 12,893000000012,31257,58
13,Product 13,893000000013,60825,412
14,Product 14,893000000014,61112,184
15,Product 15,893000000015,59265,464
16,Product 16,893000000016,21730,162
17,Product 17,893000000017,32785,84
18,Product 18,893000000018,49881,343
19,Product 19,893000000019,24844,251
20,Product 20,893000000020,13940,407
21,Product 21,893000000021,33591,275
22,Product 22,893000000022,20870,91
23,Product 23,893000000023,13902,130
24,Product 24,893000000024,96972,201
25,Product 25,893000000025,95530,263
26,Product 26,893000000026,47395,387
27,Product 27,893000000027,85161,229
28,Product 28,893000000028,53426,110
29,Product 29,893000000029,27367,320
30,Product 30,893000000030,22486,305
31,Product 31,893000000031,25080,330
32,Product 32,893000000032,82134,155
33,Product 33,893000000033,67163,459
34,Product 34,893000000034,71809,374
35,Product 35,893000000035,27106,98
36,Product 36,893000000036,50269,489
37,Product 37,893000000037,31314,357
38,Product 38,893000000038,89599,257
39,Product 39,893000000039,30610,91
40,Product 40,893000000040,63117,183
41,Product 41,893000000041,16916,85
42,Product 42,893000000042,44615,211
43,Product 43,893000000043,37544,247
44,Product 44,893000000044,55170,448
45,Product 45,893000000045,89685,294
46,Product 46,893000000046,39246,477
47,Product 47,893000000047,38951,306
48,Product 48,893000000048,56186,173
49,Product 49,893000000049,86790,393
50,Product 50,893000000050,53007,68
51,Product 51,893000000051,22310,462
52,Product 52,893000000052,47423,463
53,Product 53,893000000053,58950,339
54,Product 54,893000000054,55716,403
55,Product 55,893000000055,50282,145
56,Product 56,893000000056,13545,361
57,Product 57,893000000057,87341,245
58,Product 58,893000000058,66996,267
59,Product 59,893000000059,68303,346
60,Product 60,893000000060,91851,409
61,Product 61,893000000061,83461,208
62,Product 62,893000000062,39951,440
63,Product 63,893000000063,59829,265
64,Product 64,893000000064,18863,337
65,Product 65,893000000065,95196,70
66,Product 66,893000000066,21309,368
67,Product 67,893000000067,71990,377
68,Product 68,893000000068,92995,481
69,Product 69,893000000069,66333,104
70,Product 70,893000000070,16773,331
71,Product 71,893000000071,62771,175
72,Product 72,893000000072,53594,96
73,Product 73,893000000073,58762,190
74,Product 74,893000000074,60296,79
75,Product 75,893000000075,31489,376
76,Product 76,893000000076,95956,403
77,Product 77,893000000077,62543,457
78,Product 78,893000000078,21761,226
79,Product 79,893000000079,37051,60
80,Product 80,893000000080,14416,173
81,Product 81,893000000081,69446,202
82,Product 82,893000000082,40303,483
83,Product 83,893000000083,57341,50
84,Product 84,893000000084,78759,331
85,Product 85,893000000085,49747,239
86,Product 86,893000000086,33028,371
87,Product 87,893000000087,47322,173
88,Product 88,893000000088,82751,379
89,Product 89,893000000089,99643,67
90,Product 90,893000000090,99988,310
91,Product 91,893000000091,87573,175
92,Product 92,893000000092,43974,328
93,Product 93,893000000093,25266,398
94,Product 94,893000000094,54643,216
95,Product 95,893000000095,10177,336
96,Product 96,893000000096,93706,245
97,Product 97,893000000097,24578,277
98,Product 98,893000000098,88669,430
99,Product 99,893000000099,64203,267
100,Product 100,893000000100,55240,81
